@RELATION games
@ATTRIBUTE queryID	string
@ATTRIBUTE queryName	string
@ATTRIBUTE recommendationCount	real
@ATTRIBUTE Steamspyowners	real
@ATTRIBUTE isFree	real
@ATTRIBUTE categorySinglePlayer	real
@ATTRIBUTE categoryMultiplayer	real
@ATTRIBUTE categoryCoop	real
@ATTRIBUTE categoryMMO	real
@ATTRIBUTE categoryInAppPurchase	real
@ATTRIBUTE categoryIncludesLevelEditor	real
@ATTRIBUTE categoryVrSupport	real
@ATTRIBUTE genreIsNongame	real
@ATTRIBUTE genreIsIndie	real
@ATTRIBUTE genreIsAction	real
@ATTRIBUTE genreIsAdventure	real
@ATTRIBUTE genreIsCasual	real
@ATTRIBUTE genreIsStrategy	real
@ATTRIBUTE genreIsRPG	real
@ATTRIBUTE genreIsSimulation	real
@ATTRIBUTE genreIsEarlyAccess	real
@ATTRIBUTE genreIsFreeToPlay	real
@ATTRIBUTE genreIsSports	real
@ATTRIBUTE genreIsRacing	real
@ATTRIBUTE genreIsMMO	real
@ATTRIBUTE priceInitial	real
@ATTRIBUTE priceFinal	real


@DATA
10,Counter-Strike,68991,13033334,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
20,Team-Fortress-Classic,2439,5399140,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
30,Day-of-Defeat,2319,7621102,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
40,Deathmatch-Classic,888,7498965,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
50,Half-Life:-Opposing-Force,2934,5399499,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
60,Ricochet,1965,7488563,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
70,Half-Life,12486,5927504,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
80,Counter-Strike:-Condition-Zero,7067,10489261,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
80,Counter-Strike:-Condition-Zero,7067,10489261,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
130,Half-Life:-Blue-Shift,2219,5368650,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
220,Half-Life-2,35792,9901173,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
240,Counter-Strike:-Source,53931,15433570,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99
280,Half-Life:-Source,2547,2983660,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
300,Day-of-Defeat:-Source,7185,6400269,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
320,Half-Life-2:-Deathmatch,4328,14001822,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99
340,Half-Life-2:-Lost-Coast,4352,14844765,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
360,Half-Life-Deathmatch:-Source,864,6796273,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
380,Half-Life-2:-Episode-One,4437,6298399,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.99,7.99
400,Portal,27535,9795716,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
420,Half-Life-2:-Episode-Two,6104,5735062,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.99,7.99
440,Team-Fortress-2,383949,37878812,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0
500,Left-4-Dead,9980,4473517,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99
550,Left-4-Dead-2,140726,15574539,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99
570,Dota-2,590480,90687580,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.0,0.0
620,Portal-2,73128,8741499,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19.99,19.99
630,Alien-Swarm,14625,4819841,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
620,Portal-2,73128,8741499,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19.99,19.99
730,Counter-Strike:-Global-Offensive,1427633,25833156,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99,14.99
1002,Rag-Doll-Kung-Fu,0,35332,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99
1200,Red-Orchestra:-Ostfront-41-45,1220,940689,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
1250,Killing-Floor,44364,3496958,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99
1300,SiN-Episodes:-Emergence,385,219883,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
1300,SiN-Episodes:-Emergence,385,219883,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
1300,SiN-Episodes:-Emergence,385,219883,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99
1500,Darwinia,444,674354,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99
1510,Uplink,1240,728339,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99
1520,DEFCON,1655,811736,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99
1530,Multiwinia,340,619832,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99
1600,Dangerous-Waters,112,53087,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.99,14.99
1610,Space-Empires-IV-Deluxe,0,69946,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99
1620,Jagged-Alliance-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.99,19.99
1630,Disciples-II:-Rise-of-the-Elves,299,106175,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.49,6.49
1640,Disciples-II:-Galleans-Return,400,113708,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.49,6.49
1670,Iron-Warriors:-T-72-Tank-Command,210,43403,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99,4.99
